[ 2026-06-12 15:23:29,273] 161 numexpr.utils -INFO - NumExpr defaulting to 4 threads.
[ 2026-06-12 15:23:34,619] 31 root -INFO - Data Ingestion Started
[ 2026-06-12 15:23:34,620] 120 root -INFO - Started Data Ingestion
[ 2026-06-12 15:23:34,620] 33 root -INFO - Reading data from MongoDB database: ADITYAAI, collection: NetworkData
[ 2026-06-12 15:23:35,192] 48 root -INFO - Fetched 1000 rows and 31 columns from MongoDB
[ 2026-06-12 15:23:35,215] 72 root -INFO - Data exported to feature store: Artifacts\06_12_2026_15_23_29\data_ingestion\feature_store\phishingData.csv
[ 2026-06-12 15:23:35,219] 89 root -INFO - Performed train-test split on the dataframe
[ 2026-06-12 15:23:35,228] 111 root -INFO - Exported train and test datasets successfully
[ 2026-06-12 15:23:35,228] 133 root -INFO - Data Ingestion Completed
[ 2026-06-12 15:23:35,229] 48 root -INFO - Data Ingestion Completed
[ 2026-06-12 15:23:35,229] 53 root -INFO - Data Validation Started
[ 2026-06-12 15:23:35,247] 51 root -INFO - Number of columns in dataframe: 31
[ 2026-06-12 15:23:35,247] 51 root -INFO - Number of columns in dataframe: 31
[ 2026-06-12 15:23:35,313] 71 root -INFO - Data Validation Completed
[ 2026-06-12 15:23:35,313] 76 root -INFO - Data Transformation Started
[ 2026-06-12 15:23:35,313] 50 root -INFO - entered initiate_data_transformation method of  DataTransformation class
[ 2026-06-12 15:23:35,313] 52 root -INFO - starting data transformation
[ 2026-06-12 15:23:35,325] 37 root -INFO - entered get_data_transformer_object method of transformation class
[ 2026-06-12 15:23:35,325] 40 root -INFO - initialize KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-12 15:23:35,343] 54 root -INFO - Entered the save_object method of MainUtils class
[ 2026-06-12 15:23:35,345] 61 root -INFO - Exited the save_object method of MainUtils class
[ 2026-06-12 15:23:35,345] 94 root -INFO - Data Transformation Completed
[ 2026-06-12 15:23:35,346] 99 root -INFO - Model Training Started
