[ 2026-06-12 15:22:20,504] 161 numexpr.utils -INFO - NumExpr defaulting to 4 threads.
[ 2026-06-12 15:22:42,560] 37 root -INFO - Initiating Data Ingestion
[ 2026-06-12 15:22:42,561] 120 root -INFO - Started Data Ingestion
[ 2026-06-12 15:22:42,561] 33 root -INFO - Reading data from MongoDB database: ADITYAAI, collection: NetworkData
[ 2026-06-12 15:22:46,530] 48 root -INFO - Fetched 1000 rows and 31 columns from MongoDB
[ 2026-06-12 15:22:46,691] 72 root -INFO - Data exported to feature store: Artifacts\06_12_2026_15_22_25\data_ingestion\feature_store\phishingData.csv
[ 2026-06-12 15:22:46,715] 89 root -INFO - Performed train-test split on the dataframe
[ 2026-06-12 15:22:46,722] 111 root -INFO - Exported train and test datasets successfully
[ 2026-06-12 15:22:46,722] 133 root -INFO - Data Ingestion Completed
[ 2026-06-12 15:22:46,740] 58 root -INFO - Initiating Data Validation
[ 2026-06-12 15:22:46,916] 51 root -INFO - Number of columns in dataframe: 31
[ 2026-06-12 15:22:46,916] 51 root -INFO - Number of columns in dataframe: 31
[ 2026-06-12 15:22:46,996] 64 root -INFO - Data Validation Completed
[ 2026-06-12 15:22:46,996] 72 root -INFO - Data Transformation Started
[ 2026-06-12 15:22:46,996] 50 root -INFO - entered initiate_data_transformation method of  DataTransformation class
[ 2026-06-12 15:22:46,996] 52 root -INFO - starting data transformation
[ 2026-06-12 15:22:47,001] 37 root -INFO - entered get_data_transformer_object method of transformation class
[ 2026-06-12 15:22:47,002] 40 root -INFO - initialize KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-12 15:22:47,011] 54 root -INFO - Entered the save_object method of MainUtils class
[ 2026-06-12 15:22:47,013] 61 root -INFO - Exited the save_object method of MainUtils class
[ 2026-06-12 15:22:47,013] 92 root -INFO - Data Transformation Completed
